INDEX_ESTUDIANTE ,ESTRATO,EDAD,GENERO, DEMOGRAFIA SOCIO FAMILIAR,PROBLEMÁTICAS SOCIO FAMILIARES,ESTABILIDAD SOCIO-AFECTIVAS, LOS HÁBITOS DE ESTUDIO ,ESTILO DE APRENDIZAJE ,ESTRATEGIA DE APRENDIZAJE ,ESPACIO PERSONAL ,R ESTUDIO TRABAJO,R TIME ESTUDIO TRABAJO ,HABITOS PSICO-ACTIVOS 
41,1,22,1,1,0.2785320276,0.629526384,0.008928571429,0.08041666203,0.01486795269,0,0,0.8571428571,0.1111111111
42,5,17,1,6,0.8920013978,0.4392722381,0,0.5672047881,0.1848299153,1,1,1.142857143,0.2
43,5,31,-1,3,0.4094977953,0.1496989723,0.008928571429,0.3717458156,0.9502820604,1,1,2,-0.3333333333
44,3,23,1,5,0.2980434869,0.09554833079,0,0.6432695643,0.4759423027,0,0,1.6,-0.1666666667
45,5,35,-1,1,0.808793069,0.3651059197,0.01785714286,0.3065805747,0.405819131,1,0,1.714285714,0
46,3,29,0,2,0.5733114361,0.9285148834,0.008928571429,0.3315096344,0.2442536394,0,0,1,-0.3333333333
47,4,31,-1,5,0.9805541036,0.3548698813,0.008928571429,0.5407089385,0.3037596312,1,0,1,0
48,3,28,0,7,0.1250997258,0.6874676481,0.008928571429,0.1851523738,0.1894708234,0,1,1,0.25
49,1,21,0,2,0.2535392295,0.7746614642,0,0.265742955,0.578909406,0,0,1.2,0
50,3,25,1,3,0.3318484352,0.5825916902,0.03571428571,0.9307770149,0.2395710112,0,1,0.75,0.1666666667
51,5,35,0,3,0.422047285,0.3510123448,0.03571428571,0.8850504333,0.4057768376,1,1,2,0
52,3,25,0,6,0.4017614937,0.3091021852,0.01785714286,0.4167485285,0.4804554202,0,0,3,0
53,2,27,1,4,0.5891747548,0.9529946258,0.008928571429,0.2229287944,0.109435459,0,0,1.142857143,-0.1
54,3,33,0,6,0.2775276133,0.5290360981,0,0.3640845683,0.41369256,1,1,3,0
55,3,29,-1,2,0.2425156934,0.9669477877,0.008928571429,0.4796363327,0.8809886348,0,0,1.714285714,0
56,4,32,1,6,0.8333672865,0.4955529906,0.02678571429,0.1234391819,0.8591842871,1,0,2.4,-0.25
57,2,26,1,6,0.8781472568,0.1967638726,0.03571428571,0.496280467,0.854804565,1,1,2,0.25
58,3,18,-1,1,0.6879643122,0.6033312452,0.008928571429,0.3896019706,0.4800531369,1,1,3,0
59,4,26,-1,1,0.9087008396,0.6955348672,0.02678571429,0.6804304998,0.1107064458,1,1,2.4,0
60,3,25,0,1,0.1356772259,0.248777945,0,0.2371158798,0.4326878344,1,1,2,-0.3333333333
61,4,17,1,1,0.9511546681,0.8988466188,0.02678571429,0.5260293979,0.07699503387,1,1,1.5,0.1666666667
62,1,27,1,6,0.1828659923,0.4159704216,0.008928571429,0.4886006922,0.521047874,0,0,1.714285714,0
63,1,16,-1,1,0.5547400688,0.5047762865,0.03571428571,0.3844497599,0.3258408204,1,1,2,0
64,3,18,0,6,0.154688538,0.6585544607,0.008928571429,0.4917954293,0.9307423176,1,1,1,0
65,2,22,-1,5,0.7734430288,0.5441886853,0.008928571429,0.5864742508,0.1768719722,1,1,2.4,0.1666666667
66,4,17,-1,6,0.23317241,0.5236520018,0.02678571429,0.9022414249,0.8391666189,1,0,2,-0.1666666667
67,2,17,0,7,0.8447949723,0.5550851468,0.03571428571,0.2410598186,0.02274405081,1,1,1,0.1428571429
68,1,28,-1,4,0.006975197617,0.2199684878,0,0.1953321176,0.1315782951,0,1,0.75,1
69,3,17,-1,1,0.3501446772,0.2487605857,0.02678571429,0.8438158487,0.1365196038,1,0,1,-0.3333333333
70,1,20,-1,3,0.2986147845,0.3369027999,0.03571428571,0.8729448251,0.02227125598,1,0,1.5,1
71,1,18,1,6,0.2039287742,0.2999749627,0.03571428571,0.998419003,0.5486014821,0,0,1,0.2
72,2,23,-1,1,0.3120541383,0.4020871913,0.008928571429,0.8042087244,0.4921951603,1,1,1.714285714,-1
73,5,28,1,6,0.3625210956,0.1592173668,0.008928571429,0.1043005075,0.6339147649,1,0,1.142857143,1
74,5,35,-1,2,0.3727160051,0.858337288,0.008928571429,0.8246896566,0.2510614398,0,0,1.5,0
75,5,27,1,7,0.3283349884,0.05778961315,0.03571428571,0.2948542097,0.4305604165,0,1,1,0
76,3,18,1,4,0.05800759862,0.8437611305,0.03571428571,0.7003012555,0.03915957128,0,0,1.333333333,0.1111111111
77,5,23,1,5,0.03263840863,0.6255850021,0.03571428571,0.457475489,0.6311808913,0,0,0.8571428571,0
78,5,20,-1,5,0.4183560132,0.7764247511,0,0.2878724516,0.8621261105,1,1,1,0
79,5,26,0,6,0.05105854621,0.9711904915,0.03571428571,0.04967915912,0.2190732169,0,0,2,0.5
80,4,34,-1,5,0.8300671103,0.8425411202,0,0.2491770833,0.5454915686,0,0,2,0
81,2,28,0,1,0.9884177168,0.372772611,0.01785714286,0.09846151773,0.04332543269,1,0,2,0
82,5,35,-1,5,0.09987704913,0.8390502044,0.03571428571,0.9144007138,0.3840792427,1,0,1.714285714,0
83,1,16,0,2,0.2731399957,0.3189700357,0,0.1714422309,0.2809714237,0,1,0.8571428571,-0.25
84,5,30,-1,1,0.03909159199,0.5614838682,0.03571428571,0.8688996506,0.7077197731,0,0,3,0.1
85,2,26,1,5,0.144166307,0.9289370696,0.008928571429,0.9109989275,0.8687777511,1,1,1.5,0
86,3,17,0,7,0.3593064554,0.7993188786,0.03571428571,0.9374816982,0.6871306429,1,0,0.75,-0.5
87,2,18,-1,1,0.7726522511,0.4113623308,0,0.5838176325,0.1115762427,0,0,1.142857143,1
88,3,29,1,5,0.4128487026,0.6061597317,0.02678571429,0.4564773126,0.4444126593,0,1,0.75,-0.1
89,5,27,1,6,0.8236102045,0.3197022067,0.01785714286,0.9096257259,0.9062088997,1,0,1.5,-0.5
90,3,29,-1,4,0.7446248466,0.5629685206,0.008928571429,0.9081073914,0.5280432808,0,1,2.4,0
91,5,33,0,4,0.275388311,0.7853730439,0.02678571429,0.5703297008,0.3376895109,1,0,0.75,-0.1666666667
92,5,17,0,2,0.3577346075,0.320464837,0.02678571429,0.1060075881,0.5634698125,1,0,2,-0.1
93,4,23,1,4,0.5331123495,0.5069622939,0.01785714286,0.3746969625,0.8940283669,0,0,1.333333333,-0.1428571429
94,2,29,-1,1,0.9771100075,0.4724174843,0.01785714286,0.4865255128,0.6327807773,1,0,1.142857143,0.3333333333
95,4,25,0,5,0.2109976777,0.1207523245,0.03571428571,0.1588273718,0.6545994651,0,0,1,-0.2
96,3,32,0,5,0.8620444002,0.3148788935,0,0.6082328418,0.8901840928,1,1,1.142857143,0.25
97,4,31,0,2,0.9421746453,0.239475321,0.008928571429,0.468057188,0.5896172452,0,1,1.142857143,-0.1666666667
98,1,31,1,1,0.04263818563,0.9368906902,0,0.4820252919,0.5382502038,1,1,1.2,-0.2
99,2,33,1,7,0.08715800431,0.2200860607,0.01785714286,0.7051021042,0.4802729151,1,0,1,0
100,5,32,1,6,0.3941318613,0.3745990599,0.01785714286,0.7456366551,0.5115611042,0,1,0.75,-0.25
101,2,20,0,2,0.7464865104,0.8896785255,0.03571428571,0.2900283349,0.9547710642,0,0,1,-0.1
102,4,35,-1,6,0.1084255311,0.8612296348,0.008928571429,0.2181561236,0.7123965078,1,1,1,-0.1666666667
103,2,33,-1,2,0.3919078871,0.5380825188,0.03571428571,0.9922690729,0.1186963709,1,1,0.75,0
104,5,19,-1,3,0.7497735943,0.9975197071,0.03571428571,0.8903745686,0.07461024415,1,1,2.4,-0.125
105,5,33,0,3,0.1756962695,0.4771352718,0.01785714286,0.7299777902,0.2319899785,1,1,1.142857143,0
106,1,23,0,7,0.8020448845,0.5379070185,0,0.6530359489,0.9885070359,0,1,2,0.125
107,5,29,0,2,0.3805554708,0.1054826811,0.01785714286,0.03850805409,0.7018664176,0,1,1.5,0
108,5,21,0,6,0.02277939723,0.3833159431,0.01785714286,0.8742474161,0.07729706348,1,0,2.4,0.1111111111
109,2,34,0,6,0.9637462964,0.4237483773,0.008928571429,0.07308241593,0.2831675161,0,0,1.6,0.5
110,2,29,0,3,0.8436538827,0.8474297443,0.008928571429,0.5056953484,0.0849355858,1,0,0.8571428571,0.25
111,1,26,0,6,0.01861669364,0.2721243533,0.008928571429,0.4004870195,0.1262190927,0,1,1,0.2
112,3,32,-1,5,0.811367082,0.7349292668,0.008928571429,0.5305884351,0.8105739427,0,0,1.142857143,0
113,1,17,-1,5,0.6240259324,0.6493524286,0,0.1550061599,0.117893742,0,1,2.4,0.1
114,2,19,0,6,0.6952222426,0.7617293391,0.008928571429,0.9294427562,0.9355574666,0,0,2,0.1666666667
115,4,16,0,2,0.7360262703,0.4915417663,0.01785714286,0.07326801814,0.6143274045,1,0,1.6,-0.1
116,1,26,1,5,0.4300467265,0.2425414703,0.01785714286,0.7073506111,0.0483822413,1,0,1.714285714,0.1111111111
117,5,21,1,4,0.86476165,0.3985233407,0.03571428571,0.9040603243,0.06300229735,0,0,2,0.5
118,2,17,0,4,0.7821478341,0.2633017509,0.01785714286,0.03202447742,0.7291182703,0,0,2.4,0.1428571429
119,3,21,1,7,0.5004031367,0.3860834748,0.02678571429,0.1197215426,0.4164846857,1,1,1.142857143,0
120,4,25,0,5,0.2727357338,0.09766271765,0.008928571429,0.9188437396,0.7397458862,1,1,0.8571428571,0
121,1,27,1,2,0.9419765218,0.6904206478,0,0.3770170549,0.5181550522,0,1,1.5,1
122,1,25,-1,5,0.9530022754,0.879773197,0.01785714286,0.7698933042,0.9472409076,0,1,1.5,0.1428571429
123,4,29,1,2,0.03844176045,0.5668838147,0.03571428571,0.9134518342,0.5193308053,0,0,1.142857143,-0.1111111111
124,1,18,-1,1,0.567552635,0.3312487476,0.008928571429,0.1404857108,0.8330527796,1,0,3,-0.3333333333
125,4,19,-1,4,0.6780164004,0.5032038962,0.01785714286,0.8800984514,0.7041722151,0,1,2,-0.1666666667
126,5,16,1,2,0.1722486679,0.08923274735,0.01785714286,0.4401875635,0.3012067385,0,0,1.142857143,-1
127,2,24,1,6,0.8245388815,0.1371235804,0.01785714286,0.3489625715,0.0499673689,0,0,0.75,0
128,5,19,1,5,0.5772143581,0.1848007063,0.03571428571,0.5565955966,0.957347092,0,1,0.8571428571,-0.125
129,1,16,-1,4,0.7730531358,0.7430417862,0.008928571429,0.4707648329,0.2414797057,0,0,2,0.1111111111
130,2,32,-1,6,0.9886256334,0.8760861687,0.008928571429,0.1590620973,0.2967284145,1,0,1.6,-0.1666666667
131,2,34,1,1,0.7145555316,0.4798683048,0.02678571429,0.5612688127,0.3540468783,0,1,1,-0.25
132,5,28,-1,4,0.8311879301,0.1071907814,0.02678571429,0.3456709658,0.9989318863,0,1,0.75,0.25
133,4,30,-1,6,0.9051404003,0.7049589168,0.02678571429,0.05877783797,0.7954594527,0,1,2.4,-0.5
134,2,28,1,2,0.08849317875,0.7103496155,0,0.3488018645,0.2037833086,1,0,2,0
135,2,34,1,6,0.8301519402,0.8233731909,0.02678571429,0.6043872934,0.4851102161,1,1,1.5,-0.125
136,4,18,-1,5,0.2267243618,0.3224957281,0.008928571429,0.8307556145,0.6438084227,1,1,0.75,0.5
137,1,25,-1,5,0.9513105849,0.108741197,0.02678571429,0.4666148247,0.3936530205,1,1,1.6,0
138,4,22,-1,2,0.2287876591,0.1852162662,0,0.3586870804,0.4751787689,1,1,0.8571428571,0
139,1,30,-1,1,0.4954230267,0.187095848,0.008928571429,0.1641142556,0.06998542442,1,0,0.75,0.5
140,5,32,-1,5,0.8056290164,0.2354088944,0.03571428571,0.5344179426,0.7074543925,1,0,3,0.1111111111
141,4,19,-1,7,0.4678660908,0.8878484441,0.03571428571,0.1696634905,0.3566820963,1,0,1.714285714,-0.2
142,2,22,-1,6,0.0483347371,0.4783923669,0.02678571429,0.9158691143,0.1428705574,0,0,1.5,-0.5
143,2,34,1,5,0.6926007179,0.640759198,0.03571428571,0.7252262827,0.211350396,1,1,1.6,0.5
144,3,32,1,7,0.7020990938,0.7308413831,0.008928571429,0.8585242579,0.5431708853,0,1,3,-0.125
145,5,23,-1,7,0.3424322045,0.7227583884,0.01785714286,0.01572644196,0.09041420336,1,0,1,-0.1666666667
146,5,34,1,3,0.6791204738,0.7021138534,0.03571428571,0.1425541082,0.4251589921,0,1,1.714285714,-1
147,3,25,-1,6,0.6373783931,0.3566588841,0.03571428571,0.6767159896,0.2536003939,1,0,1,0
148,3,31,0,2,0.1641858569,0.6831110568,0.01785714286,0.2584053016,0.008703532614,0,0,2,-0.1428571429
149,1,19,1,4,0.2735027577,0.8423932473,0.008928571429,0.02121728382,0.261315806,0,0,1,0
150,3,30,1,1,0.7207225407,0.07491826839,0.02678571429,0.3845815106,0.7007377615,1,0,1.333333333,-1
151,1,30,0,6,0.6769521251,0.7020106168,0.03571428571,0.6209015267,0.871951441,0,1,1,0.1428571429
152,3,29,-1,6,0.6774153448,0.717657991,0.008928571429,0.8991788524,0.3780702418,1,1,1,0
153,4,27,-1,7,0.4451235522,0.8682566805,0.02678571429,0.3580316901,0.1200987377,1,0,1.142857143,-0.125
154,2,26,1,4,0.001455035041,0.6851611331,0.02678571429,0.07402287971,0.1471724595,0,0,1,-0.1428571429
155,5,20,0,6,0.7851621798,0.6034847192,0.01785714286,0.65322478,0.04724832557,0,0,0.8571428571,0
156,4,28,-1,5,0.06382814119,0.4645133981,0.008928571429,0.8689044303,0.2115045387,0,0,2,0
157,5,31,0,2,0.4450231841,0.4456352669,0.03571428571,0.8804278304,0.9506805502,1,1,1.333333333,0
158,3,18,0,2,0.6288820787,0.4219299872,0.01785714286,0.2947159978,0.7017371081,1,1,0.75,-0.1111111111
159,1,32,0,5,0.4691573221,0.620176725,0,0.5992801367,0.06023644263,0,0,1.5,-0.1
160,1,19,-1,5,0.9931752097,0.2077885252,0.02678571429,0.07891094224,0.541149994,1,0,1.6,0
161,4,20,0,6,0.1239147177,0.09469533129,0.02678571429,0.9953526977,0.8021428062,1,1,1.2,-0.1666666667
162,3,17,-1,1,0.13020642,0.4234227762,0,0.6346880172,0.5816390121,1,1,2,0
163,4,20,0,1,0.910793681,0.5841144081,0.02678571429,0.134092319,0.6790946327,0,0,1.5,0.1666666667
164,4,24,1,1,0.6252335373,0.9692389137,0.02678571429,0.006051812866,0.7936178549,0,1,3,0.3333333333
165,3,28,-1,6,0.7118552543,0.1215324965,0.02678571429,0.3525018325,0.8107859649,0,1,1,-0.5
166,1,35,1,1,0.9996415208,0.1360222422,0.01785714286,0.2932106515,0.3985132783,1,0,0.8571428571,0.1
167,3,32,-1,4,0.643519007,0.3090029206,0.008928571429,0.3658876232,0.2228158545,1,0,2,0
168,1,31,1,6,0.1031815856,0.6664985189,0.01785714286,0.424806507,0.6527462607,0,1,1.142857143,-0.2
169,2,20,1,2,0.09446528782,0.555207992,0.01785714286,0.7220023746,0.5375430983,1,0,1,-0.1111111111
170,4,33,0,7,0.705226747,0.7892114594,0.03571428571,0.2627692533,0.9186701988,1,0,1.6,0
171,1,18,1,7,0.01178169709,0.7282617361,0.008928571429,0.8425806783,0.1605614251,1,0,1,-1
172,4,19,-1,2,0.337701515,0.05786708819,0.03571428571,0.2390608913,0.5668765856,1,0,1.5,-0.1
173,1,31,0,6,0.7074733262,0.9215319923,0.03571428571,0.5379598305,0.8329291145,1,0,2,0.25
174,3,27,-1,3,0.1616468559,0.7721397271,0.008928571429,0.7275170787,0.755930423,1,0,0.8571428571,0
175,3,25,1,6,0.07504407471,0.9025083389,0.008928571429,0.03392424992,0.3534036287,0,0,1.5,0
176,3,18,0,1,0.9599513393,0.725573761,0.02678571429,0.4540633795,0.8246883768,1,0,0.75,0.3333333333
177,5,18,0,6,0.0324652689,0.2278313561,0.008928571429,0.9152115632,0.7973659492,0,1,1,0
178,4,31,-1,2,0.8484688192,0.04706218856,0.01785714286,0.6098244115,0.7379838137,1,0,0.75,-0.125
179,5,33,1,4,0.5022672809,0.6344953621,0.008928571429,0.1557467034,0.9599104682,0,0,1.2,-0.25
180,3,20,1,3,0.4787768014,0.3582280374,0.008928571429,0.2284679496,0.0621113033,0,0,1.714285714,0
181,4,28,0,6,0.1698824855,0.8151650053,0.03571428571,0.4944807362,0.4291384907,0,1,2,-0.125
182,1,28,-1,5,0.1448101274,0.3530410095,0.01785714286,0.4553223332,0.3600602293,1,0,0.75,-0.1666666667
183,4,24,-1,2,0.3552750751,0.9461089265,0.02678571429,0.7349285469,0.410815613,1,0,2,0.1111111111
184,1,30,1,3,0.5535098285,0.07070945596,0.03571428571,0.8145387529,0.720059039,1,0,1.5,0.2
185,5,24,-1,1,0.427226093,0.735427586,0.01785714286,0.2377266541,0.5453996905,0,1,1,0
186,5,30,-1,4,0.06180478972,0.5402089735,0.01785714286,0.5743787047,0.6313013318,0,1,1.6,0.1111111111
187,4,22,0,1,0.4806925327,0.4073885932,0.008928571429,0.5647452916,0.7105553206,0,1,1.142857143,0
188,5,30,-1,5,0.8884258915,0.4460351687,0,0.03150525943,0.3487063449,0,1,2,0
189,4,28,-1,4,0.2910895669,0.03050770867,0.008928571429,0.2808385184,0.5235579902,1,1,1.142857143,0
190,1,21,-1,7,0.3833343418,0.9305616837,0.02678571429,0.5542342248,0.7295746155,0,1,3,0.5
191,3,35,0,2,0.5201946158,0.2616294833,0.01785714286,0.66993134,0.6447436885,0,1,2,0
192,3,32,0,3,0.5684105491,0.3987847488,0.03571428571,0.7227214248,0.7487575819,1,0,1,0
193,2,20,-1,7,0.5510552401,0.7291443757,0.008928571429,0.1549214107,0.3410435706,0,0,1,-0.125
194,5,35,-1,2,0.2733431794,0.1256576936,0.01785714286,0.9210644906,0.2095719824,1,0,0.8571428571,0.1666666667
195,2,20,1,4,0.3075889744,0.4634799514,0.01785714286,0.589295336,0.2626959901,1,1,1.2,0
196,1,20,-1,2,0.6876107108,0.8434498651,0.02678571429,0.4216954455,0.7536310448,1,1,3,0
197,5,31,0,6,0.7116549151,0.5343514334,0.03571428571,0.1102749753,0.2908644921,1,0,2.4,0
198,2,24,-1,6,0.6746586755,0.1747703572,0.008928571429,0.8650237827,0.0568871315,0,1,1.2,0.2
199,1,22,1,1,0.6487961016,0.1385488696,0.01785714286,0.6909445042,0.262899583,0,1,1,-0.125
200,3,21,-1,5,0.8738235992,0.5036160283,0.008928571429,0.1952218675,0.98871029,1,1,1.2,-0.1111111111
201,1,22,1,6,0.165508416,0.05025631522,0.03571428571,0.9187665634,0.6185275031,1,0,1.714285714,0.1111111111
202,4,30,0,5,0.3095883286,0.4789490414,0,0.5438649139,0.6473672656,1,0,0.75,-0.5
203,3,17,0,4,0.1770792002,0.5833886812,0,0.3611520028,0.6368703349,0,0,1.5,0
204,3,25,1,1,0.7811028148,0.01917210746,0,0.3437608236,0.1947900684,1,1,1.142857143,1
205,3,32,-1,3,0.9064182673,0.9919262358,0.008928571429,0.3906523263,0.1628129294,1,0,0.8571428571,0.1428571429
206,5,33,-1,2,0.7966679516,0.2371117703,0.03571428571,0.5520186226,0.6563865046,0,1,1.333333333,0
207,2,34,1,7,0.1409149346,0.7538216723,0,0.7526276112,0.1231221154,1,1,1,-0.5
208,3,19,1,5,0.811536712,0.7987832,0.03571428571,0.3198741684,0.6725713683,1,1,1.2,0.2
209,1,16,-1,2,0.8356127071,0.1352313914,0,0.9210013139,0.8885559816,0,0,1,-0.1666666667
210,5,28,0,7,0.320785788,0.6397049418,0.03571428571,0.6820553561,0.1667895538,1,1,0.8571428571,0.5
211,2,19,0,7,0.6156858338,0.2374286337,0.03571428571,0.341429012,0.6880155587,1,0,1.333333333,-0.3333333333
212,5,27,-1,5,0.2343822314,0.8236506417,0,0.8749414531,0.09353602007,1,0,2,-0.1
213,2,25,1,3,0.957492876,0.796021209,0.01785714286,0.6787292232,0.9740025748,0,1,0.75,-0.3333333333
214,5,23,1,7,0.4355099882,0.3836302018,0.02678571429,0.1142408539,0.6471062832,0,0,1,0.1
215,4,21,0,5,0.7329134394,0.9726203578,0.008928571429,0.8239769405,0.3840415148,0,1,0.8571428571,0
216,4,25,0,4,0.4967125839,0.8361224238,0.008928571429,0.06254357888,0.3297584979,0,1,1.142857143,0
217,4,27,0,7,0.973154987,0.3788663589,0.008928571429,0.5678498993,0.8584700071,0,0,1.2,-0.1428571429
218,5,25,0,1,0.936797497,0.4190525521,0.02678571429,0.6474363535,0.1132387243,1,1,2.4,0
219,5,33,0,7,0.0920411409,0.4620645649,0.008928571429,0.8866149237,0.5386337798,0,1,1.714285714,0
220,5,24,-1,7,0.8644644274,0.04300668427,0.01785714286,0.3138154998,0.0811887352,0,0,3,0.1666666667
221,5,32,1,5,0.9606212883,0.00534577384,0.008928571429,0.8259041724,0.3679582346,0,1,3,-1
222,3,28,-1,5,0.3263645896,0.1443674554,0.01785714286,0.5308834169,0.647174338,1,1,1.142857143,0.5
223,1,19,-1,7,0.5598138533,0.9323415994,0.02678571429,0.09987982301,0.2978945783,1,1,2.4,0
224,2,18,-1,6,0.5962466006,0.6284789789,0.008928571429,0.3557333491,0.9236664886,1,1,1.2,0
225,2,23,1,2,0.9801286605,0.4203346005,0.01785714286,0.0786276478,0.7170210162,1,0,0.8571428571,0
226,5,24,-1,6,0.1808505754,0.5400195012,0.008928571429,0.8714517951,0.5253803247,0,1,1,0
227,1,24,0,7,0.171091585,0.8145545312,0.03571428571,0.6281268394,0.08965532868,0,1,3,0.5
228,4,24,-1,1,0.634499228,0.005264556487,0.02678571429,0.2677160029,0.9644043471,1,1,1.5,0
229,1,19,0,3,0.5609868035,0.2819752335,0.01785714286,0.8427699316,0.8346201054,1,0,2.4,0
230,3,28,1,1,0.7595079387,0.975028615,0,0.4747186873,0.5073856872,0,1,1,-0.1428571429
231,1,34,-1,7,0.8224725346,0.06222051605,0.02678571429,0.6023787328,0.5790845718,1,0,1.333333333,0
232,3,19,-1,7,0.2995679796,0.8353142801,0.03571428571,0.4650845655,0.5739029467,0,0,3,0
233,1,22,-1,1,0.1134331316,0.5669905001,0.008928571429,0.8605798472,0.0798502458,1,1,0.8571428571,-0.3333333333
234,1,21,1,5,0.4185033315,0.6319939128,0.03571428571,0.3307860952,0.3516592094,1,0,1.5,-0.3333333333
235,1,28,0,2,0.8963903565,0.183121813,0.03571428571,0.8802456039,0.1675935378,0,0,1.5,-0.1666666667
236,3,16,0,4,0.691985568,0.4224834001,0.008928571429,0.8598373937,0.664238518,0,1,1.142857143,-0.1666666667
237,1,25,0,6,0.3645742588,0.1677246404,0.008928571429,0.2598226875,0.0003361755534,0,1,2,-1
238,5,33,1,5,0.854016228,0.6770099167,0.008928571429,0.7770325758,0.3612428774,1,1,1.5,-0.1666666667
239,5,34,1,2,0.8683896469,0.4408965027,0,0.5114884927,0.03207940627,1,1,1.5,0.3333333333
