RESULTADOS_CONVOCATORIA;CÓDIGO DE GRUPO;NOMBRE DEL GRUPO;LÍDER DEL GRUPO;GRUPO RECONOCIDO;GRUPO INSCRITO PARA MEDICIÓN;CLASIFICACIÓN DEL GRUPO
2013 - Convocatoria 640 - 2013;COL0000059;CENTRO DE INVESTIGACIONES ODONTOLÓGICAS;LILIANA MARGARITA OTERO MENDOZA;Si;;B
2019 - Convocatoria 833 - 2018;COL0000069;ACADEMIA;EDITH GONZÁLEZ BERNAL;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0000069;ACADEMIA;EDITH GONZÁLEZ BERNAL;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0000069;ACADEMIA;EDITH GONZÁLEZ BERNAL;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0000069;ACADEMIA;EDITH GONZÁLEZ BERNAL;Si;SÍ;B
2013 - Convocatoria 640 - 2013;COL0000069;ACADEMIA;EDITH GONZÁLEZ BERNAL;Si;;D
2019 - Convocatoria 833 - 2018;COL0000078;MUNDOS SIMBÓLICOS: ESTUDIOS EN EDUCACIÓN Y VIDA COTIDIANA;NAPOLEON MURCIA PEÑA;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0000078;MUNDOS SIMBÓLICOS: ESTUDIOS EN EDUCACIÓN Y VIDA COTIDIANA;NAPOLEON MURCIA PEÑA;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0000078;MUNDOS SIMBÓLICOS: ESTUDIOS EN EDUCACIÓN Y VIDA COTIDIANA;NAPOLEON MURCIA PEÑA;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0000078;MUNDOS SIMBÓLICOS: ESTUDIOS EN EDUCACIÓN Y VIDA COTIDIANA;NAPOLEON MURCIA PEÑA;Si;SÍ;B
2013 - Convocatoria 640 - 2013;COL0000078;MUNDOS SIMBÓLICOS: ESTUDIOS EN EDUCACIÓN Y VIDA COTIDIANA;NAPOLEON MURCIA PEÑA;Si;;B
2019 - Convocatoria 833 - 2018;COL0000111;ALFA: EDUCACIÓN, DEMOCRACIA, PEDAGOGIA Y DESARROLLO LOCAL;OLGA LUCÍA FERNÁNDEZ ARBELÁEZ;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0000111;ALFA: EDUCACIÓN, DEMOCRACIA, PEDAGOGIA Y DESARROLLO LOCAL;MAYERLY ZULAY RUIZ TORRES;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0000111;ALFA: EDUCACIÓN, DEMOCRACIA, PEDAGOGIA Y DESARROLLO LOCAL;MARTHA LILIANA MARIN CANO;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0000111;ALFA: EDUCACIÓN, DEMOCRACIA, PEDAGOGIA Y DESARROLLO LOCAL;MARTHA LILIANA MARIN CANO;Si;SÍ;C
2013 - Convocatoria 640 - 2013;COL0000111;ALFA: EDUCACIÓN, DEMOCRACIA, PEDAGOGIA Y DESARROLLO LOCAL;JHOANA ALEXANDRA PATIÑO LOPEZ;Si;;B
2013 - Convocatoria 640 - 2013;COL0000129;AMBIENTE ETICO;JOSÉ LUIS MEZA RUEDA;Si;;C
2019 - Convocatoria 833 - 2018;COL0000139;PUEBLOS Y AMBIENTES AMAZÓNICOS;CARLOS EDUARDO FRANKY CALVO;Si;Sí;A1
2017 - Convocatoria 781 - 2017;COL0000139;PUEBLOS Y AMBIENTES AMAZÓNICOS;CARLOS EDUARDO FRANKY CALVO;Si;Sí;A1
2016 - Convocatoria 737 - 2015;COL0000139;PUEBLOS Y AMBIENTES AMAZÓNICOS;CARLOS EDUARDO FRANKY CALVO;Si;SÍ;A1
2019 - Convocatoria 833 - 2018;COL0000149;ANALISIS NUMERICO, OPTIMIZACION Y PROBLEMAS INVERSOS (ANOPI);HECTOR JAIRO MARTÍNEZ ROMERO;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0000149;ANALISIS NUMERICO, OPTIMIZACION Y PROBLEMAS INVERSOS (ANOPI);DORIS HINESTROZA GUTIERREZ;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0000149;ANALISIS NUMERICO, OPTIMIZACION Y PROBLEMAS INVERSOS (ANOPI);DORIS HINESTROZA GUTIERREZ;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0000149;ANALISIS NUMERICO, OPTIMIZACION Y PROBLEMAS INVERSOS (ANOPI);DORIS HINESTROZA GUTIERREZ;Si;SÍ;C
2013 - Convocatoria 640 - 2013;COL0000149;ANALISIS NUMERICO, OPTIMIZACION Y PROBLEMAS INVERSOS (ANOPI);DORIS HINESTROZA GUTIERREZ;Si;;C
2013 - Convocatoria 640 - 2013;COL0000167;APRENDER INVESTIGANDO;AMPARO FLÓREZ SILVA;Si;;D
2019 - Convocatoria 833 - 2018;COL0000176;APROVECHAMIENTO DE SUBPRODUCTOS AGROINDUSTRIALES;JOSE LUIS HOYOS CONCHA;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0000176;APROVECHAMIENTO DE SUBPRODUCTOS AGROINDUSTRIALES;JOSE LUIS HOYOS CONCHA;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0000176;APROVECHAMIENTO DE SUBPRODUCTOS AGROINDUSTRIALES;JOSE LUIS HOYOS CONCHA;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0000176;APROVECHAMIENTO DE SUBPRODUCTOS AGROINDUSTRIALES;REINALDO VELASCO MOSQUERA;Si;SÍ;C
2013 - Convocatoria 640 - 2013;COL0000176;APROVECHAMIENTO DE SUBPRODUCTOS AGROINDUSTRIALES;REINALDO VELASCO MOSQUERA;Si;;B
2019 - Convocatoria 833 - 2018;COL0000185;AREA DE CIENCIAS DEL MAR UNIVERSIDAD EAFIT;JUAN DARIO RESTREPO ANGEL;Si;Sí;A1
2017 - Convocatoria 781 - 2017;COL0000185;AREA DE CIENCIAS DEL MAR UNIVERSIDAD EAFIT;JUAN DARIO RESTREPO ANGEL;Si;Sí;A1
2016 - Convocatoria 737 - 2015;COL0000185;AREA DE CIENCIAS DEL MAR UNIVERSIDAD EAFIT;IVÁN DARÍO CORREA ARANGO;Si;SÍ;A1
2015 - Convocatoria 693 - 2014;COL0000185;AREA DE CIENCIAS DEL MAR UNIVERSIDAD EAFIT;IVÁN DARÍO CORREA ARANGO;Si;SÍ;A
2013 - Convocatoria 640 - 2013;COL0000185;AREA DE CIENCIAS DEL MAR UNIVERSIDAD EAFIT;IVÁN DARÍO CORREA ARANGO;Si;;A1
2019 - Convocatoria 833 - 2018;COL0000229;ASPA (ANÁLISIS EN SISTEMAS DE PRODUCCIÓN AGROPECUARIA);BERNARDO RIVERA SÁNCHEZ;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0000229;ASPA (ANÁLISIS EN SISTEMAS DE PRODUCCIÓN AGROPECUARIA);BERNARDO RIVERA SÁNCHEZ;Si;SÍ;C
2019 - Convocatoria 833 - 2018;COL0000238;AMBIENTES DE APRENDIZAJE;WILLIAM LEONARDO PERDOMO VANEGAS;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0000238;AMBIENTES DE APRENDIZAJE;WILLIAM LEONARDO PERDOMO VANEGAS;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0000238;AMBIENTES DE APRENDIZAJE;WILLIAM LEONARDO PERDOMO VANEGAS;Si;SÍ;B
2015 - Convocatoria 693 - 2014;COL0000238;AMBIENTES DE APRENDIZAJE;WILLIAM LEONARDO PERDOMO VANEGAS;Si;SÍ;B
2013 - Convocatoria 640 - 2013;COL0000238;AMBIENTES DE APRENDIZAJE;PABLO ALEXANDER MUNEVAR GARCIA;Si;;D
2019 - Convocatoria 833 - 2018;COL0000265;ACTORES ARMADOS, CONFLICTO Y DERECHO INTERNACIONAL HUMANITARIO IEPRI;JOSE MARIO AGUILERA PEÑA;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0000265;ACTORES ARMADOS, CONFLICTO Y DERECHO INTERNACIONAL HUMANITARIO IEPRI;JOSE MARIO AGUILERA PEÑA;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0000265;ACTORES ARMADOS, CONFLICTO Y DERECHO INTERNACIONAL HUMANITARIO IEPRI;JOSE MARIO AGUILERA PEÑA;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0000265;ACTORES ARMADOS, CONFLICTO Y DERECHO INTERNACIONAL HUMANITARIO IEPRI;JOSE MARIO AGUILERA PEÑA;Si;SÍ;B
2013 - Convocatoria 640 - 2013;COL0000265;ACTORES ARMADOS, CONFLICTO Y DERECHO INTERNACIONAL HUMANITARIO IEPRI;JOSE MARIO AGUILERA PEÑA;Si;;B
2017 - Convocatoria 781 - 2017;COL0000283;ADMINISTRACIÓN ECONÓMICA Y FINANCIERA;EDUARDO ARTURO CRUZ TREJOS;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0000283;ADMINISTRACIÓN ECONÓMICA Y FINANCIERA;EDUARDO ARTURO CRUZ TREJOS;Si;SÍ;B
2015 - Convocatoria 693 - 2014;COL0000283;ADMINISTRACIÓN ECONÓMICA Y FINANCIERA;EDUARDO ARTURO CRUZ TREJOS;Si;SÍ;B
2013 - Convocatoria 640 - 2013;COL0000283;ADMINISTRACIÓN ECONÓMICA Y FINANCIERA;EDUARDO ARTURO CRUZ TREJOS;Si;;D
2019 - Convocatoria 833 - 2018;COL0000309;EDUCACIÓN, DESARROLLO Y CONVIVENCIA;ENRIQUE CHAUX TORRES;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0000309;EDUCACIÓN, DESARROLLO Y CONVIVENCIA;ENRIQUE CHAUX TORRES;Si;Sí;A1
2016 - Convocatoria 737 - 2015;COL0000309;EDUCACIÓN, DESARROLLO Y CONVIVENCIA;ENRIQUE CHAUX TORRES;Si;SÍ;A1
2015 - Convocatoria 693 - 2014;COL0000309;EDUCACIÓN, DESARROLLO Y CONVIVENCIA;ENRIQUE CHAUX TORRES;Si;SÍ;A1
2019 - Convocatoria 833 - 2018;COL0000318;CENTRO DE INVESTIGACIONES DEL BANANO CENIBANANO;MARCELA CADAVID ORDÓÑEZ;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0000318;CENTRO DE INVESTIGACIONES DEL BANANO CENIBANANO;JAIVER DANILO SÁNCHEZ TORRES;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0000318;CENTRO DE INVESTIGACIONES DEL BANANO CENIBANANO;JAIVER DANILO SÁNCHEZ TORRES;Si;No;Reconocido
2015 - Convocatoria 693 - 2014;COL0000318;CENTRO DE INVESTIGACIONES DEL BANANO CENIBANANO;JAIVER DANILO SÁNCHEZ TORRES;Si;SÍ;D
2013 - Convocatoria 640 - 2013;COL0000318;CENTRO DE INVESTIGACIONES DEL BANANO CENIBANANO;JOHN JAIRO MIRA CASTILLO;No;;No reconocido_Avalado
2013 - Convocatoria 640 - 2013;COL0000318;CENTRO DE INVESTIGACIONES DEL BANANO CENIBANANO;JOHN JAIRO MIRA CASTILLO;No;;No reconocido_Avalado
2019 - Convocatoria 833 - 2018;COL0000336;AGRONOMÍA;JUAN CARLOS GARCÍA LÓPEZ;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0000336;AGRONOMÍA;JUAN CARLOS GARCÍA LÓPEZ;Si;No;Reconocido
2016 - Convocatoria 737 - 2015;COL0000336;AGRONOMÍA;JUAN CARLOS GARCÍA LÓPEZ;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0000336;AGRONOMÍA;JUAN CARLOS GARCÍA LÓPEZ;Si;SÍ;C
2013 - Convocatoria 640 - 2013;COL0000336;AGRONOMÍA;VICTOR HUGO RAMIREZ BUILES;Si;;C
2019 - Convocatoria 833 - 2018;COL0000363;ALERGOLOGIA EXPERIMENTAL E INMUNOGENETICA;LUIS CARABALLO;Si;Sí;A1
2017 - Convocatoria 781 - 2017;COL0000363;ALERGOLOGIA EXPERIMENTAL E INMUNOGENETICA;LUIS CARABALLO;Si;Sí;A1
2016 - Convocatoria 737 - 2015;COL0000363;ALERGOLOGIA EXPERIMENTAL E INMUNOGENETICA;LUIS CARABALLO;Si;SÍ;A1
2015 - Convocatoria 693 - 2014;COL0000363;ALERGOLOGIA EXPERIMENTAL E INMUNOGENETICA;LUIS CARABALLO;Si;SÍ;A1
2013 - Convocatoria 640 - 2013;COL0000363;ALERGOLOGIA EXPERIMENTAL E INMUNOGENETICA;LUIS CARABALLO;Si;;A1
2019 - Convocatoria 833 - 2018;COL0000407;ALIMENTACIÓN Y NUTRICIÓN HUMANA;SANDRA LUCIA RESTREPO MESA;Si;Sí;A1
2017 - Convocatoria 781 - 2017;COL0000407;ALIMENTACIÓN Y NUTRICIÓN HUMANA;CLAUDIA MARIAVELASQUEZ RODRIGUEZ;Si;Sí;A1
2016 - Convocatoria 737 - 2015;COL0000407;ALIMENTACIÓN Y NUTRICIÓN HUMANA;CLAUDIA MARIAVELASQUEZ RODRIGUEZ;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0000407;ALIMENTACIÓN Y NUTRICIÓN HUMANA;CLAUDIA MARIAVELASQUEZ RODRIGUEZ;Si;SÍ;A
2019 - Convocatoria 833 - 2018;COL0000425;AMBIENTE Y VIDA;ALINA KATIL SIGARROA RIECHE;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0000425;AMBIENTE Y VIDA;ALINA KATIL SIGARROA RIECHE;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0000425;AMBIENTE Y VIDA;ALINA KATIL SIGARROA RIECHE;Si;SÍ;B
2015 - Convocatoria 693 - 2014;COL0000425;AMBIENTE Y VIDA;ALINA KATIL SIGARROA RIECHE;Si;SÍ;B
2013 - Convocatoria 640 - 2013;COL0000425;AMBIENTE Y VIDA;ALINA KATIL SIGARROA RIECHE;Si;;B
2019 - Convocatoria 833 - 2018;COL0000434;FORMACIÓN, SUBJETIVIDADES Y POLÍTICAS;OSCAR JULIÁN CUESTA MORENO;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0000434;FORMACIÓN, SUBJETIVIDADES Y POLÍTICAS;FABIOLA CABRA TORRES;Si;No;Reconocido
2016 - Convocatoria 737 - 2015;COL0000434;FORMACIÓN, SUBJETIVIDADES Y POLÍTICAS;CARLOS ARTURO GAITÁN RIVEROS;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0000434;FORMACIÓN, SUBJETIVIDADES Y POLÍTICAS;CARLOS ARTURO GAITÁN RIVEROS;Si;SÍ;C
2013 - Convocatoria 640 - 2013;COL0000434;FORMACIÓN, SUBJETIVIDADES Y POLÍTICAS;CARLOS ARTURO GAITÁN RIVEROS;Si;;B
2019 - Convocatoria 833 - 2018;COL0000443;AMENAZAS GEOLÓGICAS;MARTA LUCIA CALVACHE VELASCO;Si;Sí;A1
2017 - Convocatoria 781 - 2017;COL0000443;AMENAZAS GEOLÓGICAS;MARTA LUCIA CALVACHE VELASCO;Si;Sí;C
2013 - Convocatoria 640 - 2013;COL0000452;ANÁLISIS NUMERICO Y SIMULACIÓN EN PARALELO;MARIO ARMANDO HIGUERA GARZÓN;No;;No reconocido_Avalado
2019 - Convocatoria 833 - 2018;COL0000461;ANALISIS DE RESIDUOS;CARLOS ALBERTO LÓPEZ CÓRDOBA;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0000461;ANALISIS DE RESIDUOS;CARLOS ALBERTO LÓPEZ CÓRDOBA;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0000461;ANALISIS DE RESIDUOS;CARLOS ALBERTO LÓPEZ CÓRDOBA;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0000461;ANALISIS DE RESIDUOS;CARLOS ALBERTO LÓPEZ CÓRDOBA;Si;SÍ;C
2013 - Convocatoria 640 - 2013;COL0000489;ANTROPOLOGÍA JURÍDICA, HISTORIA Y ETNOLOGÍA;HERINALDY GÓMEZ VALENCIA;Si;;A
2013 - Convocatoria 640 - 2013;COL0000499;ANTROPOLOGÍA MÉDICA;ROBERTO SUÁREZ MONTAÑEZ;Si;;C
2019 - Convocatoria 833 - 2018;COL0000505;ACUICULTURA TROPICAL;LURY NOHEMY GARCÍA NÚÑEZ;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0000505;ACUICULTURA TROPICAL;LURY NOHEMY GARCÍA NÚÑEZ;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0000505;ACUICULTURA TROPICAL;LURY NOHEMY GARCÍA NÚÑEZ;Si;SÍ;C
2019 - Convocatoria 833 - 2018;COL0000523;MATEMÁTICAS Y APLICACIONES;GABRIEL IGNACIO LOAIZA OSSA;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0000523;MATEMÁTICAS Y APLICACIONES;GABRIEL IGNACIO LOAIZA OSSA;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0000523;MATEMÁTICAS Y APLICACIONES;MARÍA EUGENIA PUERTA YEPES;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0000523;MATEMÁTICAS Y APLICACIONES;MARÍA EUGENIA PUERTA YEPES;Si;SÍ;A
2013 - Convocatoria 640 - 2013;COL0000523;MATEMÁTICAS Y APLICACIONES;MARÍA EUGENIA PUERTA YEPES;Si;;B
2017 - Convocatoria 781 - 2017;COL0000532;ANÁLISIS MULTIVARIADO;DAYA KRISHNA NAGAR;Si;Sí;Reconocido
2016 - Convocatoria 737 - 2015;COL0000532;ANÁLISIS MULTIVARIADO;DAYA KRISHNA NAGAR;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0000532;ANÁLISIS MULTIVARIADO;DAYA KRISHNA NAGAR;Si;No;Reconocido
2013 - Convocatoria 640 - 2013;COL0000532;ANÁLISIS MULTIVARIADO;DAYA KRISHNA NAGAR;Si;;C
2013 - Convocatoria 640 - 2013;COL0000541;ANÁLISIS DE LA CONDUCTA SIMBÓLICA;TELMO EDUARDO PEÑA CORREAL;Si;;B
2019 - Convocatoria 833 - 2018;COL0000569;APLICABILIDAD TECNOLÓGICA;IVAN DARIO RUIZ HIDALGO;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0000569;APLICABILIDAD TECNOLÓGICA;CARLOS ANDRES CRIOLLO PAREDES;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0000569;APLICABILIDAD TECNOLÓGICA;CARLOS ANDRES CRIOLLO PAREDES;Si;SÍ;B
2015 - Convocatoria 693 - 2014;COL0000569;APLICABILIDAD TECNOLÓGICA;JUAN PABLO RUIZ ROSERO;Si;SÍ;C
2013 - Convocatoria 640 - 2013;COL0000569;APLICABILIDAD TECNOLÓGICA;EDWIN VILLARREAL LÓPEZ;Si;;D
2019 - Convocatoria 833 - 2018;COL0000588;APRENDIZAJE Y COMPORTAMIENTO ANIMAL;GERMÁN ANTONIO GUTIÉRREZ DOMÍNGUEZ;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0000588;APRENDIZAJE Y COMPORTAMIENTO ANIMAL;GERMÁN ANTONIO GUTIÉRREZ DOMÍNGUEZ;Si;No;Reconocido
2016 - Convocatoria 737 - 2015;COL0000588;APRENDIZAJE Y COMPORTAMIENTO ANIMAL;GERMÁN ANTONIO GUTIÉRREZ DOMÍNGUEZ;Si;SÍ;A1
2013 - Convocatoria 640 - 2013;COL0000588;APRENDIZAJE Y COMPORTAMIENTO ANIMAL;GERMÁN ANTONIO GUTIÉRREZ DOMÍNGUEZ;No;;No reconocido_Avalado
2019 - Convocatoria 833 - 2018;COL0000603;POLÍTICA Y ECONOMÍA DE LA SALUD CENDEX;ROLANDO ENRIQUE PEÑALOZA QUINTERO;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0000603;POLÍTICA Y ECONOMÍA DE LA SALUD CENDEX;ROLANDO ENRIQUE PEÑALOZA QUINTERO;Si;Sí;A1
2016 - Convocatoria 737 - 2015;COL0000603;POLÍTICA Y ECONOMÍA DE LA SALUD CENDEX;ROLANDO ENRIQUE PEÑALOZA QUINTERO;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0000603;POLÍTICA Y ECONOMÍA DE LA SALUD CENDEX;ROLANDO ENRIQUE PEÑALOZA QUINTERO;Si;SÍ;C
2019 - Convocatoria 833 - 2018;COL0000612;INTEGRACIÓN Y CONTEXTO CONTABLE;FERNANDO SALAZAR ARRIETA;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0000612;INTEGRACIÓN Y CONTEXTO CONTABLE;FERNANDO SALAZAR ARRIETA;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0000612;INTEGRACIÓN Y CONTEXTO CONTABLE;FERNANDO SALAZAR ARRIETA;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0000612;INTEGRACIÓN Y CONTEXTO CONTABLE;GABRIEL RUEDA DELGADO;Si;SÍ;C
2013 - Convocatoria 640 - 2013;COL0000612;INTEGRACIÓN Y CONTEXTO CONTABLE;LUZ ENEIDA MORENO MAHECHA;Si;;C
2019 - Convocatoria 833 - 2018;COL0000621;ARQUEOLOGÍA Y PATRIMONIO;FERNANDO MONTEJO GAITAN;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0000621;ARQUEOLOGÍA Y PATRIMONIO;FERNANDO MONTEJO GAITAN;Si;Sí;B
2013 - Convocatoria 640 - 2013;COL0000621;ARQUEOLOGÍA Y PATRIMONIO;FERNANDO MONTEJO GAITAN;Si;;C
2019 - Convocatoria 833 - 2018;COL0000659;INVEMAR ARRECIFES CORALINOS;RAÚL NAVAS CAMACHO;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0000659;INVEMAR ARRECIFES CORALINOS;RAÚL NAVAS CAMACHO;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0000659;INVEMAR ARRECIFES CORALINOS;RAÚL NAVAS CAMACHO;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0000659;INVEMAR ARRECIFES CORALINOS;RAÚL NAVAS CAMACHO;Si;SÍ;A1
2013 - Convocatoria 640 - 2013;COL0000659;INVEMAR ARRECIFES CORALINOS;RAÚL NAVAS CAMACHO;No;;No reconocido_Avalado
